method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
join,top2,CORA,9,566019.0,7604.0,7604.0,273.7684683799744,0.0324258941649471,0.0793913278529519,43.992200000000025
join,top2,CORA,4,251564.0,7604.0,7604.0,298.22796416282654,0.0324258941649471,0.0793913278529519,42.332
join,top2,CORA,7,440237.0,7604.0,7604.0,281.7185683250427,0.0324258941649471,0.0793913278529519,44.242200000000025
join,top2,CORA,10,628910.0,7604.0,7604.0,248.1807186603546,0.0324258941649471,0.0793913278529519,45.14850000000001
join,top2,CORA,8,503128.0,7604.0,7604.0,249.9066231250763,0.0324258941649471,0.0793913278529519,43.94140000000005
join,top2,CORA,6,377346.0,7604.0,7604.0,254.8620114326477,0.0324258941649471,0.0793913278529519,44.492200000000025
join,top2,CORA,2,125782.0,7604.0,7604.0,296.1334776878357,0.0324258941649471,0.0793913278529519,44.07820000000004
join,top2,CORA,5,314455.0,7604.0,7604.0,234.4932947158813,0.0324258941649471,0.0793913278529519,45.05859999999996
join,top3,ABTBUY,10,10850.0,10850.0,10850.0,407.7670660018921,0.365954846269136,0.7806451612903226,36.375
join,top3,ABTBUY,8,8680.0,8680.0,8680.0,347.6762099266052,0.2751424398960208,0.6691244239631337,36.32820000000004
join,top3,ABTBUY,2,2170.0,2170.0,2170.0,360.7697825431824,0.0,0.0,35.945299999999975
join,top3,ABTBUY,7,7595.0,7595.0,7595.0,398.9568741321564,0.2229131024575174,0.6147465437788019,36.445299999999975
join,top3,ABTBUY,4,4340.0,4340.0,4340.0,396.390743970871,0.049542620624057,0.256221198156682,35.83600000000001
join,top3,ABTBUY,6,6510.0,6510.0,6510.0,374.098729133606,0.1651858924315963,0.5271889400921659,36.33600000000001
join,top3,ABTBUY,3,3255.0,3255.0,3255.0,355.14329862594604,0.0089558871816936,0.088479262672811,35.77350000000001
join,top3,ABTBUY,5,5425.0,5425.0,5425.0,341.7729215621948,0.1058966811104071,0.3990783410138249,36.113200000000006
join,top3,ABTBUY,1,1085.0,1085.0,1085.0,367.3125555515289,0.0,0.0,36.05859999999996
join,top3,ABTBUY,9,9765.0,9765.0,9765.0,358.32821774482727,0.3225313817995503,0.7262672811059908,36.332
join,top3,CORA,8,503128.0,24175.0,24175.0,289.4025733470917,0.1590866638244803,0.3116503156254472,46.800700000000006
join,top3,CORA,9,566019.0,24175.0,24175.0,287.8812849521637,0.1590866638244803,0.3116503156254472,46.27340000000004
join,top3,CORA,7,440237.0,24175.0,24175.0,275.78990864753723,0.1590866638244803,0.3116503156254472,46.71870000000001
join,top3,CORA,2,125782.0,24175.0,24175.0,275.6104438304901,0.1590866638244803,0.3116503156254472,46.332
join,top3,CORA,10,628910.0,24175.0,24175.0,247.83772778511047,0.1590866638244803,0.3116503156254472,46.36329999999998
join,top3,CORA,3,188673.0,24175.0,24175.0,246.8778259754181,0.1590866638244803,0.3116503156254472,46.6875
join,top3,CORA,6,377346.0,24175.0,24175.0,239.46678185462952,0.1590866638244803,0.3116503156254472,47.80460000000005
join,top3,CORA,5,314455.0,24175.0,24175.0,241.99025130271912,0.1590866638244803,0.3116503156254472,47.58209999999997
join,top3,CORA,1,62891.0,24175.0,24175.0,234.259417295456,0.1590866638244803,0.3116503156254472,46.60540000000003
join,top3,CORA,4,251564.0,24175.0,24175.0,248.6475796699524,0.1590866638244803,0.3116503156254472,46.90229999999997
join,top4,ABTBUY,6,6510.0,2161.0,2161.0,368.0097000598908,0.0,0.0,32.70310000000006
join,top4,ABTBUY,2,2170.0,2161.0,2161.0,355.9316246509552,0.0,0.0,32.70309999999995
join,top4,ABTBUY,3,3255.0,2161.0,2161.0,356.0890808105469,0.0,0.0,32.63670000000002
join,top4,ABTBUY,9,9765.0,2161.0,2161.0,331.72766971588135,0.0,0.0,32.93360000000007
join,top4,ABTBUY,4,4340.0,2161.0,2161.0,325.5949957370758,0.0,0.0,32.60940000000005
join,top4,ABTBUY,1,1085.0,1085.0,1085.0,331.65723061561584,0.0,0.0,32.367200000000025
join,top4,ABTBUY,10,10850.0,2161.0,2161.0,378.55804681777954,0.0,0.0,32.52739999999994
join,top4,ABTBUY,5,5425.0,2161.0,2161.0,372.220160484314,0.0,0.0,32.300800000000095
join,top4,ABTBUY,7,7595.0,2161.0,2161.0,390.72089099884033,0.0,0.0,32.937400000000025
join,top4,ABTBUY,8,8680.0,2161.0,2161.0,371.49114894866943,0.0,0.0,32.58979999999997
join,top4,CORA,6,377346.0,1882.0,1882.0,268.993718624115,4.7566470892036e-05,4.7701578922262325e-05,34.98829999999998
join,top4,CORA,4,251564.0,1882.0,1882.0,284.566801071167,4.7566470892036e-05,4.7701578922262325e-05,35.22659999999996
join,top4,CORA,8,503128.0,1882.0,1882.0,243.5306203365326,4.7566470892036e-05,4.7701578922262325e-05,35.14059999999995
join,top4,CORA,5,314455.0,1882.0,1882.0,288.91271591186523,4.7566470892036e-05,4.7701578922262325e-05,35.10149999999999
